,Iterations (n),Actual Time (ns),Theoretical Units,Adjusted Theoretical Time,Scaling Factor
0,1000,36353000,9965.784284662088,6046595.1619030675,606.7355051231766
1,10000,147265000,132877.1237954945,80621268.82537422,606.7355051231766
2,100000,1218244000,1660964.0474436812,1007765860.3171778,606.7355051231766
3,1000000,14862478000,19931568.569324173,12093190323.806133,606.7355051231766
4,10000000,156489916000,232534966.64211535,141087220444.40488,606.7355051231766
5,100000000,1593945965000,2657542475.9098897,1612425376507.4844,606.7355051231766
